State,Population,Poverty Rate (%),Literacy Rate (%),Average Income (INR)
Andhra Pradesh,13000000,30.05,64.05,15250
Arunachal Pradesh,16000000,27.55,69.05,15500
Assam,19000000,25.05,74.05,15750
Bihar,22000000,22.55,79.05,16000
Chhattisgarh,25000000,20.05,84.05,16250
Goa,28000000,30.05,89.05,16500
Gujarat,31000000,27.55,64.05,16750
Haryana,34000000,25.05,69.05,17000
Himachal Pradesh,37000000,22.55,74.05,17250
Jharkhand,40000000,20.05,79.05,17500
Karnataka,43000000,30.05,84.05,17750
Kerala,46000000,27.55,89.05,18000
Madhya Pradesh,49000000,25.05,64.05,18250
Maharashtra,52000000,22.55,69.05,18500
Manipur,55000000,20.05,74.05,18750
Meghalaya,58000000,30.05,79.05,19000
Mizoram,61000000,27.55,84.05,19250
Nagaland,64000000,25.05,89.05,19500
Odisha,67000000,22.55,64.05,19750
Punjab,70000000,20.05,69.05,20000
Rajasthan,73000000,30.05,74.05,20250
Sikkim,76000000,27.55,79.05,20500
Tamil Nadu,79000000,25.05,84.05,20750
Telangana,82000000,22.55,89.05,21000
Tripura,85000000,20.05,64.05,21250
Uttar Pradesh,88000000,30.05,69.05,21500
Uttarakhand,91000000,27.55,74.05,21750
West Bengal,94000000,25.05,79.05,22000
Delhi,97000000,22.55,84.05,22250
