State,Population,Poverty Rate (%),Literacy Rate (%),Average Income (INR)
Andhra Pradesh,"10,000,000",38.05,50.05,"5,250"
Arunachal Pradesh,"10,000,000",35.55,55.05,"5,500"
Assam,"10,000,000",33.05,60.05,"5,750"
Bihar,"10,000,000",30.55,65.05,"6,000"
Chhattisgarh,"10,000,000",28.05,70.05,"6,250"
Goa,"10,000,000",38.05,75.05,"6,500"
Gujarat,"10,000,000",35.55,50.05,"6,750"
Haryana,"10,000,000",33.05,55.05,"7,000"
Himachal Pradesh,"10,000,000",30.55,60.05,"7,250"
Jharkhand,"10,000,000",28.05,65.05,"7,500"
Karnataka,"10,000,000",38.05,70.05,"7,750"
Kerala,"10,000,000",35.55,75.05,"8,000"
Madhya Pradesh,"10,000,000",33.05,50.05,"8,250"
Maharashtra,"10,000,000",30.55,55.05,"8,500"
Manipur,"10,000,000",28.05,60.05,"8,750"
Meghalaya,"10,000,000",38.05,65.05,"9,000"
Mizoram,"10,000,000",35.55,70.05,"9,250"
Nagaland,"10,000,000",33.05,75.05,"9,500"
Odisha,"10,000,000",30.55,50.05,"9,750"
Punjab,"10,000,000",28.05,55.05,"10,000"
Rajasthan,"10,000,000",38.05,60.05,"10,250"
Sikkim,"10,000,000",35.55,65.05,"10,500"
Tamil Nadu,"10,000,000",33.05,70.05,"10,750"
Telangana,"10,000,000",30.55,75.05,"11,000"
Tripura,"10,000,000",28.05,50.05,"11,250"
Uttar Pradesh,"10,000,000",38.05,55.05,"11,500"
Uttarakhand,"10,000,000",35.55,60.05,"11,750"
West Bengal,"10,000,000",33.05,65.05,"12,000"
Delhi,"10,000,000",30.55,70.05,"12,250"
