state,min_age,max_age,conditions,sector,scheme_name,skills_offered,documents_needed,offered_by
Kerala,17,55,"8th passed, income < ₹1.5 lakh, 55% marks",Education,National Means-Cum-Merit Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Madhya Pradesh,14,50,"Income < ₹6 lakh, urban household",Housing,PMAY Urban,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Assam,18,52,"Rural SC/ST family, no home",Housing,Basava Vasati Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Gujarat,21,44,"10th pass, 18+ years, unemployed",Employment,PM Kaushal Vikas Yojana,"Tailoring, Beauty, Electrician, Welding","Aadhaar Card, Bank Passbook, 10th Marksheet",Ministry of Skill Development and Entrepreneurship
Haryana,10,52,"Income < ₹3 lakh, major illness",Healthcare,Mukhya Mantri Amrutam Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
West Bengal,2,7,"New startup, DIPP registered",Employment,Startup India,"Entrepreneurship, Business Development","Aadhaar Card, Business Plan, DIPP Certificate",Department for Promotion of Industry and Internal Trade
Uttarakhand,14,59,"Income < ₹6 lakh, urban household",Housing,PMAY Urban,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Haryana,15,65,"10th pass, 18+ years, unemployed",Employment,PM Kaushal Vikas Yojana,"Tailoring, Beauty, Electrician, Welding","Aadhaar Card, Bank Passbook, 10th Marksheet",Ministry of Skill Development and Entrepreneurship
Uttar Pradesh,20,58,"SC/ST/women, new enterprise",Employment,Stand-Up India,"Entrepreneurship, Business Loan Management","Caste Certificate, Aadhaar Card, Bank Passbook",Ministry of Finance
Tamil Nadu,17,63,"Income < ₹6 lakh, urban household",Housing,PMAY Urban,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Uttar Pradesh,2,15,"8th passed, income < ₹1.5 lakh, 55% marks",Education,National Means-Cum-Merit Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Tripura,22,35,"8th passed, income < ₹1.5 lakh, 55% marks",Education,National Means-Cum-Merit Scholarship,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Jharkhand,7,18,"New startup, DIPP registered",Employment,Startup India,"Entrepreneurship, Business Development","Aadhaar Card, Business Plan, DIPP Certificate",Department for Promotion of Industry and Internal Trade
Telangana,16,49,"Poor/vulnerable families, SECC data",Healthcare,Ayushman Bharat,Not available,"Aadhaar Card, Bank Passbook",Ministry of Health and Family Welfare
Maharashtra,25,51,"Income < ₹1 lakh, kutcha house owner",Housing,Mukhya Mantri Awas Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Himachal Pradesh,9,20,"Girl student, admitted in AICTE college",Education,AICTE Pragati Scholarship,Not available,"Aadhaar Card, Bank Passbook",All India Council for Technical Education
West Bengal,18,31,"Adult in rural area willing to work, job card required",Employment,MGNREGA,Not available,"Aadhaar Card, Bank Passbook",Ministry of Rural Development
Kerala,6,50,Pregnant woman below poverty line,Healthcare,Janani Suraksha Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Haryana,14,36,"Income < ₹3 lakh, major illness",Healthcare,Mukhya Mantri Amrutam Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Meghalaya,24,46,Pregnant woman below poverty line,Healthcare,Janani Suraksha Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Rajasthan,2,38,"Income < ₹6 lakh, urban household",Housing,PMAY Urban,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Himachal Pradesh,12,37,"Rural SC/ST family, no home",Housing,Basava Vasati Yojana,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
Haryana,8,56,"BPL family, no pucca house",Housing,PMAY Gramin,Not available,"Aadhaar Card, Bank Passbook",Relevant Ministry or State Department
